コード,銘柄名,price,volume,marketCapacity,pbr,per
2908,フジッコ,1605,34000,45697077248,0.66055334,34.127155
2910,ロック・フィールド,1354,40300,35394510848,1.2395636,302.9083
2915,ケンコーマヨネーズ,1956,24200,28161970176,0.71504945,11.890577
2918,わらべや日洋ホールディングス,3220,340300,55757139968,0.95278794,14.492754
2922,なとり,1926,19200,24233803776,0.9140694,28.491125
2929,ファーマフーズ,683,168600,19719591936,2.1024053,53.193146
2930,北の達人コーポレーション,145,425900,20219258880,2.5477931,21.229868
2931,ユーグレナ,407,764800,55587442688,1.793718,0.0
2933,紀文食品,1085,31900,24770197504,1.3102456,15.575652
2935,ピックルスホールディングス,1299,61700,16274170880,0.82031196,13.280851
2975,スター・マイカ・ホールディングス,1398,204700,47440236544,1.6411282,12.150183
2980,ＳＲＥホールディングス,3270,152600,52695760896,3.8650243,49.74897
2982,ＡＤワークスグループ,435,830300,21153488896,1.044152,9.208298
3002,グンゼ,4425,192800,141570211840,1.2963417,54.941643
3003,ヒューリック,1782,1988900,1353487613952,1.5888749,13.157895
3028,アルペン,2240,142000,86349062144,0.7156216,15.480305
3031,ラクーンホールディングス,665,109900,13520602112,2.8933423,16.000961
3034,クオールホールディングス,2098,177600,78712897536,1.4479661,10.482139
3036,アルコニックス,2697,227400,81004937216,1.1607618,17.181627
3038,神戸物産,3856,1257900,853470281728,5.2970304,26.953726
3040,ソリトンシステムズ,2046,70000,37926907904,3.0588446,22.07596
3046,ジンズホールディングス,5290,430700,123477172224,3.882341,14.814608
3048,ビックカメラ,1704,471200,291842424832,1.7312319,16.72226
3050,ＤＣＭホールディングス,1635,264800,228372856832,0.74041635,12.468542
3064,ＭｏｎｏｔａＲＯ,2381,1778900,1183132942336,10.356992,40.48631
3076,あい　ホールディングス,2834,92200,150977757184,1.3598039,6.9588704
3087,ドトール・日レスホールディングス,2632,112800,110603091968,1.0844078,17.211615
3088,マツキヨココカラ＆カンパニー,2653,1465200,1055899975680,2.0219223,18.975258
3091,ブロンコビリー,3860,34900,57464684544,2.7173913,33.221447
3093,トレジャー・ファクトリー,1760,235900,41247506432,3.671815,14.705882
3097,物語コーポレーション,4395,124600,169288302592,4.1003757,26.954922
3101,東洋紡,1275,273900,112512835584,0.56588876,14.74841
3103,ユニチカ,330,2508700,19025934336,0.5968918,0.0
3104,富士紡ホールディングス,8330,59600,93761224704,1.9014648,17.985535
3105,日清紡ホールディングス,1344,509500,209931632640,0.7709366,16.366293
3106,倉敷紡績,8960,82200,144827449344,1.1903836,12.674343
3107,ダイワボウホールディングス,3106,237600,271578529792,1.7073457,9.008904
3109,シキボウ,1079,62400,13698314240,0.3906103,14.346497
3110,日東紡績,12540,3979400,456533737472,3.3521085,31.949045
3116,トヨタ紡織,2535,448100,452902944768,0.9790359,21.929066
3132,マクニカホールディングス,2477,418300,442300694528,1.6978592,21.007547
3135,マーケットエンタープライズ,1471,50300,7872718336,6.2397137,16.583992
3139,ラクト・ジャパン,3540,52600,35297951744,1.1660982,8.244061
3148,クリエイトＳＤホールディングス,3355,72500,216740593664,1.5067337,13.812269
3150,グリムス,2506,27000,57893634048,3.318067,12.239914
3151,バイタルケーエスケー・ホールディングス,1445,85400,69904900096,0.64530766,7.1122704
3153,八洲電機,2938,36300,62592925696,1.9966483,13.22768
3154,メディアスホールディングス,809,15700,17989943296,0.8966622,13.071579
3156,レスター,2843,31200,79938846720,0.92141074,16.778801
3167,ＴＯＫＡＩホールディングス,1079,257000,140198559744,1.4672846,13.512836
3176,三洋貿易,1536,39900,44252422144,0.86228436,9.633718
3179,シュッピン,1145,172000,24307785728,2.6137912,19.646534
3180,ビューティガレージ,1620,37600,20323241984,2.5683343,21.739132
3182,オイシックス・ラ・大地,1515,113800,52620259328,1.7714906,24.039988
3183,ウイン・パートナーズ,1337,20900,38224744448,1.6467179,17.39074
3186,ネクステージ,3370,695500,263421706240,3.329362,20.833334
3191,ジョイフル本田,2135,131100,128654467072,1.052889,15.797263
3193,エターナルホスピタリティグループ,3400,48300,39217553408,3.8110523,22.779043
3196,ホットランドホールディングス,1990,67200,42310832128,3.7196329,72.46905
3197,すかいらーくホールディングス,3375,764100,767819513856,4.190355,49.26288
3198,ＳＦＰホールディングス,2210,43200,50395963392,5.623925,38.46154
3199,綿半ホールディングス,1495,27100,28985083904,1.2033501,14.793193
3201,日本毛織,1829,60200,122548985856,0.9829623,14.265657
3221,ヨシックスホールディングス,3095,29400,31742902272,2.5522952,17.006428
3231,野村不動産ホールディングス,1008,2970500,864318849024,1.1553578,13.623463
3232,三重交通グループホールディングス,551,88000,55387668480,0.829281,9.2933035
3245,ディア・ライフ,1150,367300,56944402432,1.7812556,9.398497
3252,地主,3255,140000,67322277888,1.4864486,21.459654
3276,ＪＰＭＣ,1292,34700,21553930240,2.423124,11.299633
3284,フージャースホールディングス,1335,201900,54603722752,1.1789641,10.394768
3288,オープンハウスグループ,9443,218300,1058967912448,1.9729322,10.810781
3291,飯田グループホールディングス,2563,434400,708234379264,0.7139359,13.698557
3302,帝国繊維,3135,21900,80601161728,1.1516773,22.172714
3315,日本コークス工業,114,3570000,33176684544,0.80204314,0.0
3333,あさひ,1318,57900,34323251200,0.8397301,11.751069
3349,コスモス薬品,7642,515900,605684039680,2.3059976,19.56928
3360,シップヘルスケアホールディングス,2670,166100,245736570880,1.6964937,16.72198
3371,ソフトクリエイトホールディングス,2229,27100,55638044672,2.4123323,15.408544
3387,クリエイト・レストランツ・ホールディングス,791,899900,332991987712,7.8413877,59.518436
3388,明治電機工業,2408,13100,30708393984,0.86414886,9.871685
3391,ツルハホールディングス,2581,8798500,1172353318912,2.1035485,38.312557
3393,スターティアホールディングス,2915,17700,27256651776,3.6211855,14.598358
3395,サンマルクホールディングス,2754,55600,59014848512,1.9501307,30.579615
3397,トリドールホールディングス,4307,241600,378404241408,4.1678724,81.96004
3415,ＴＯＫＹＯ　ＢＡＳＥ,467,372200,20295571456,3.6005614,20.829617
3431,宮地エンジニアリンググループ,1922,106500,50969501696,1.2238164,11.560903
3433,トーカロ,2352,260200,139870486528,2.2327487,15.673731
3443,川田テクノロジーズ,4655,65800,81183293440,0.877145,8.741291
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3755,98300,99369164800,1.3561537,10.581936
3457,Ａｎｄ　Ｄｏホールディングス,1068,47600,21314508800,1.2128439,9.008857
3465,ケイアイスター不動産,6650,24400,103211524096,1.5774584,8.912656
3475,グッドコムアセット,1324,230600,37923139584,2.671838,9.487638
3480,ジェイ・エス・ビー,3440,17400,72612511744,1.7408096,12.546959
3482,ロードスターキャピタル,3060,72400,50838532096,1.7005782,6.116208
3484,イノベーションホールディングス,1233,9700,20682020864,4.862927,16.285828
3486,グローバル・リンク・マネジメント,2140,54100,34066651136,2.384417,6.0458813
3496,アズーム,5240,25500,64306192384,9.420767,34.601162
3498,霞ヶ関キャピタル,7450,375200,177040130048,4.021525,14.5348835
3501,ＳＵＭＩＮＯＥ,1293,84100,17125539840,0.54978794,25.772375
3539,ＪＭホールディングス,1662,86300,84691992576,1.8674746,13.19257
3543,コメダホールディングス,3025,118900,137671458816,2.8883135,22.93578
3546,アレンザホールディングス,1272,84900,38189588480,1.1900028,13.210094
3548,バロックジャパンリミテッド,787,85500,28317046784,2.028152,0.0
3549,クスリのアオキホールディングス,4480,470600,426166550528,3.2039247,23.9803
3561,力の源ホールディングス,1451,84400,43668574208,3.8467758,21.928368
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,8742,855300,990071291904,10.116287,43.668514
3569,セーレン,3015,192000,176820912128,1.2105988,11.792545
3580,小松マテーレ,880,119200,33986582528,0.886257,23.41671
3591,ワコールホールディングス,4571,146700,225670823936,1.1353137,21.412846
3593,ホギメディカル,6690,65600,144234872832,1.9678948,227.24184
3608,ＴＳＩホールディングス,1099,300600,63994875904,0.69193566,4.574592
3612,ワールド,3130,278100,113917026304,1.2328125,8.896848
3626,ＴＩＳ,5102,736300,1142574809088,3.450006,22.321388
3632,グリーホールディングス,413,392000,70767050752,0.77085745,59.855072
3635,コーエーテクモホールディングス,1914,1516300,639442354176,2.570891,17.54354
3636,三菱総合研究所,5000,17100,78749163520,1.0949094,12.330456
3649,ファインデックス,956,96000,23337086976,4.466851,21.32025
3655,ブレインパッド,2690,101400,56191012864,9.978818,54.048622
3656,ＫＬａｂ,371,4903700,28266706944,3.1015918,0.0
3657,ポールトゥウィンホールディングス,336,89600,11881042944,1.062004,0.0
3660,アイスタイル,490,1164300,48858071040,2.3377752,24.810127
3661,エムアップホールディングス,923,371700,65473626112,7.8233595,26.04402
3662,エイチームホールディングス,1268,98200,23543105536,2.61335,25.314434
3663,セルシス,1627,133200,48803356672,9.451664,37.592422
3665,エニグモ,488,611200,19360229376,1.520325,76.9716
3668,コロプラ,453,387700,58188685312,0.84413344,0.0
3673,ブロードリーフ,748,144000,67388858368,2.8257232,88.52071
3675,クロス・マーケティンググループ,649,18900,12592717824,3.1843226,9.083276
3676,デジタルハーツホールディングス,950,108400,21183862784,2.2993457,22.727274
3678,メディアドゥ,1804,34500,27384315904,1.4938796,12.610094
3679,じげん,492,165200,49094733824,2.3798928,12.452544
3681,ブイキューブ,154,19044100,3985123840,5.1762967,0.0
3687,フィックスターズ,1583,288500,51056275456,6.190897,26.247719
368A,北里コーポレーション,1649,203300,65960001536,3.582057,16.949327
3694,オプティム,525,182500,28926785536,3.241101,21.73913
3696,セレス,1943,169800,22422988800,1.6991916,9.478511
3708,特種東海製紙,1687,81600,58789613568,0.72477776,15.479904
3741,セック,3310,154300,33793816576,3.5798528,24.095509
3762,テクマトリックス,2397,141900,96298868736,3.759033,21.692308
3763,プロシップ,1726,62600,43774701568,4.598669,17.211807
3765,ガンホー・オンライン・エンターテイメント,2586,225800,140515655680,1.1421975,28.011265
3769,ＧＭＯペイメントゲートウェイ,9945,173100,754364710912,6.6750255,34.96467
3771,システムリサーチ,2011,23900,33352341504,2.7858627,13.792867
3774,インターネットイニシアティブ,2711,489800,480557498368,3.238759,21.45967
3778,さくらインターネット,2735,263700,109460643840,3.72315,66.65855
3788,ＧＭＯグローバルサイン・ホールディングス,2316,16500,26591481856,2.7453542,34.963768
3817,ＳＲＡホールディングス,5390,41400,68096663552,2.131418,17.730263
3834,朝日ネット,706,33600,18294587392,1.4211608,12.469092
3835,ｅＢＡＳＥ,457,50100,20289490944,2.8758597,17.921568
3836,アバントグループ,1834,80800,66933063680,4.301852,19.494047
3837,アドソル日進,1650,47400,28827842560,3.7575407,21.929825
3843,フリービット,1706,26000,37228871680,4.6664424,11.350632
3844,コムチュア,1719,90800,54824976384,2.8683128,16.694183
3853,アステリア,991,366700,16356697088,2.5432427,14.620832
3854,アイル,2592,29400,64876433408,5.711893,18.349144
3863,日本製紙,1189,350600,137367404544,0.29277754,7.7758155
3864,三菱製紙,673,100800,29483474944,0.35658878,8.944711
3865,北越コーポレーション,949,174900,159653838848,0.60550606,13.735708
3877,中越パルプ工業,2027,15600,25470349312,0.43790573,35.586376
3880,大王製紙,980,367900,163114336256,0.6984549,0.0
3901,マークラインズ,1549,64100,19744360448,3.126678,13.29842
3902,メディカル・データ・ビジョン,1688,274500,63902236672,22.26766,0.0
3903,ｇｕｍｉ,371,682800,18921123840,0.9737993,6.493961
3915,テラスカイ,2222,97200,28684636160,2.4899845,27.100866
3916,デジタル・インフォメーション・テクノロジー,1325,49000,39025577984,4.8781204,17.985613
3921,ネオジャパン,1894,17500,26549929984,3.7730362,15.624484
3922,ＰＲ　ＴＩＭＥＳ,2955,99400,39884812288,4.915072,22.883915
3923,ラクス,1070,1631600,385826029568,15.794991,36.234337
3924,ランドコンピュータ,967,14400,17359745024,2.837483,15.67515
3925,ダブルスタンダード,1736,13900,23463507968,3.8578637,15.848092
3926,オープンドア,329,44200,10203441152,2.543231,0.0
3932,アカツキ,2662,66100,38392078336,0.89326525,18.38271
3937,Ｕｂｉｃｏｍホールディングス,1057,26400,12814265344,2.3080466,13.0381155
3939,カナミックネットワーク,505,163300,23965933568,5.156165,21.553564
3941,レンゴー,1239,916600,307450806272,0.65895694,14.534475
3946,トーモク,3590,19700,59223920640,0.6205551,8.0128565
3950,ザ・パック,1300,106000,72537309184,0.9707702,12.787724
3962,チェンジホールディングス,1018,383400,70831366144,1.6837356,10.131369
3963,シンクロ・フード,709,78700,19882194944,4.2230535,42.20238
3964,オークネット,2147,75600,97355972608,3.9162183,17.730614
3968,セグエグループ,621,234900,19706736640,4.9754033,41.317368
3983,オロ,2225,106700,34674450432,3.5810392,19.493605
3984,ユーザーローカル,1996,55100,31841959936,3.6237803,22.523132
3992,ニーズウェル,585,171800,22152488960,4.6527534,25.0
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,3545,250300,110095622144,3.1926582,40.98266
3994,マネーフォワード,4669,394900,258345271296,6.8025727,0.0
4008,住友精化,5350,25700,69795356672,0.72091633,11.8907385
4022,ラサ工業,6620,119400,51684327424,1.7396734,12.315363
4023,クレハ,4270,317700,163196387328,0.9163805,21.881725
4025,多木化学,4005,36100,33233113088,0.8186682,12.642046
4027,テイカ,1224,170400,27929776128,0.46044934,11.600796
4028,石原産業,2785,140600,106540785664,0.91054285,7.9872665
4041,日本曹達,3670,58600,197911330816,1.0359358,13.037764
4044,セントラル硝子,3500,41000,86771933184,0.7412984,17.241379
4045,東亞合成,1695,209300,181900541952,0.879887,17.888796
4046,大阪ソーダ,2220,278700,274112086016,2.2879758,22.884237
4047,関東電化工業,1163,205200,66702643200,1.0072272,34.726784
4051,ＧＭＯフィナンシャルゲート,5240,23500,43255119872,6.914179,26.596285
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,466,79400,17740707840,1.7304636,20.573952
4064,日本カーバイド工業,2538,20000,23668121600,0.66143477,8.169967
4071,プラスアルファ・コンサルティング,2439,129500,103377870848,6.987718,31.153404
4072,電算システムホールディングス,3565,38500,38137298944,1.6140723,18.867426
4078,堺化学工業,3265,46800,49991229440,0.6482362,9.398388
4082,第一稀元素化学工業,1730,15646300,41908715520,1.1635227,32.678505
4088,エア・ウォーター,2301,525200,527401680896,1.0267514,10.729604
4091,日本酸素ホールディングス,4927,712600,2132673036288,1.9849542,19.919949
4092,日本化学工業,3085,160800,26949632000,0.565232,10.6156025
4095,日本パーカライジング,1438,142400,156097150976,0.8263489,12.77087
4097,高圧ガス工業,1141,56400,62987091968,0.7706445,12.920395
4099,四国化成ホールディングス,2680,92200,115908198400,1.3032001,14.084507
409A,オリオンビール,1356,343800,55581626368,3.1025345,11.90518
4109,ステラ　ケミファ,4580,36400,54119890944,1.2022903,18.553026
4112,保土谷化学工業,2304,53800,36647165952,0.71931934,19.646969
4114,日本触媒,2104,764400,310881648640,0.8221602,19.802353
4116,大日精化工業,4300,51500,73401090048,0.56918603,12.2399025
4118,カネカ,4516,167300,275708608512,0.58443546,10.869617
